1.000000	0.000513	111.768326	1	m.06yxd	m.03zwsw	48
1.000000	0.001026	111.750389	1	m.01n7q	m.0210fw	48
1.000000	0.001538	111.256676	1	m.03nhdr	m.0f8l9c	28
0.750000	0.001538	111.216522	0	m.04rrd	m.0f8j6	48
0.800000	0.002051	111.131744	1	m.01n7q	m.0r26c	48
0.833333	0.002564	111.027077	1	m.0345h	m.0438ty	48
0.857143	0.003077	111.004456	1	m.0345h	m.0m38x	48
0.875000	0.003590	110.979645	1	m.01n7q	m.0dc95	48
0.888889	0.004103	110.773064	1	m.0345h	m.0b55ht	48
0.900000	0.004615	110.617477	1	m.01n7q	m.0l35f	48
0.909091	0.005128	110.570152	1	m.0fm9_	m.0y634	48
0.916667	0.005641	110.497780	1	m.0345h	m.013_gg	48
0.923077	0.006154	110.366638	1	m.0cymp	m.02rf94y	48
0.928571	0.006667	110.359192	1	m.0hjy	m.0h2p4l	48
0.933333	0.007179	110.182922	1	m.03rjj	m.028kpr	48
0.937500	0.007692	110.175972	1	m.0vbk	m.01vcs0	48
0.941176	0.008205	110.133911	1	m.05kj_	m.0zdgd	48
0.944444	0.008718	109.963814	1	m.07z1m	m.0mnrq	48
0.947368	0.009231	109.897774	1	m.0kpys	m.0q__d	48
0.950000	0.009744	109.729324	1	m.0d_kd	m.01mgfl	48
0.952381	0.010256	109.613922	1	m.01n7q	m.0r2nw	48
0.909091	0.010256	109.595360	0	m.05kr_	m.01kzhs	48
0.913043	0.010769	109.460571	1	m.02xry	m.0rq43	48
0.916667	0.011282	109.437248	1	m.01n7q	m.0r4xt	48
0.920000	0.011795	109.197472	1	m.01n7q	m.0r1gl	48
0.923077	0.012308	109.145775	1	m.03lzgz	m.0d060g	28
0.888889	0.012308	109.001335	0	m.07m2q2	m.06bnz	28
0.892857	0.012821	108.965523	1	m.05kr_	m.01kzl0	48
0.896552	0.013333	108.954124	1	m.02wxn8	m.0f8l9c	28
0.900000	0.013846	108.950111	1	m.018ykd	m.03spz	28
0.903226	0.014359	108.921013	1	m.09zf0z	m.0f8l9c	28
0.875000	0.014359	108.870773	0	m.0n5fl	m.026w9pv	48
0.878788	0.014872	108.786720	1	m.07dzf	m.03k8hk	48
0.852941	0.014872	108.757233	0	m.07gzg1	m.03rjj	28
0.828571	0.014872	108.706657	0	m.0d04z6	m.03b92b	48
0.833333	0.015385	108.652916	1	m.0260dq3	m.0f8l9c	28
0.837838	0.015897	108.636353	1	m.0bfxtg	m.0d060g	28
0.815789	0.015897	108.635399	0	m.01n7q	m.052721	48
0.820513	0.016410	108.611671	1	m.06mz5	m.087dwj	48
0.825000	0.016923	108.587753	1	m.0345h	m.04t85t	48
0.804878	0.016923	108.568336	0	m.01n7q	m.09b2k	48
0.785714	0.016923	108.495491	0	m.04cw_zd	m.0f8l9c	28
0.767442	0.016923	108.361229	0	m.07_f2	m.02m0v4	48
0.772727	0.017436	108.291328	1	m.074hn0	m.03rjj	28
0.777778	0.017949	108.255753	1	m.03s0w	m.0t27m	48
0.760870	0.017949	108.150223	0	m.05kr_	m.0_483	48
0.765957	0.018462	108.090157	1	m.081mh	m.010xxm	48
0.770833	0.018974	108.053764	1	m.02xry	m.0rq9m	48
0.775510	0.019487	108.033119	1	m.0345h	m.04164m	48
0.780000	0.020000	107.997604	1	m.03s0w	m.0s_gl	48
0.784314	0.020513	107.905006	1	m.01k165	m.0d060g	28
0.788462	0.021026	107.854080	1	m.04rrd	m.0bxbr	48
0.792453	0.021538	107.800087	1	m.03rjj	m.01ybj9	48
0.796296	0.022051	107.798943	1	m.07_f2	m.01mj3j	48
0.800000	0.022564	107.705078	1	m.04ykg	m.013fln	48
0.803571	0.023077	107.698608	1	m.0g4d2h	m.06mkj	28
0.789474	0.023077	107.696312	0	m.0f3z0r	m.03rk0	28
0.775862	0.023077	107.638618	0	m.05kr_	m.04b7327	48
0.779661	0.023590	107.611755	1	m.02xry	m.0rn6k	48
0.783333	0.024103	107.572792	1	m.0345h	m.02q0yk5	48
0.786885	0.024615	107.558823	1	m.016hvl	m.03rjj	28
0.774194	0.024615	107.528755	0	m.0345h	m.02pv0cf	48
0.777778	0.025128	107.440956	1	m.01gqf4	m.045c7b	29
0.765625	0.025128	107.406326	0	m.01n7q	m.04p_hy	48
0.769231	0.025641	107.357666	1	m.01n7q	m.0r3wm	48
